date,year,month,expense_type,expense_category,total_expense,allocated_budget
2018-01-01,2018,1,Vendor,Planned,2664812.1492913035,2901492.7502903333
2018-01-01,2018,1,Vendor,Unplanned,434530.68131094286,484210.06216039584
2018-01-01,2018,1,Reimbursement,Planned,570809.6974668133,625507.7017186293
2018-01-01,2018,1,Reimbursement,Unplanned,222277.08747462754,245518.75292899928
2018-02-01,2018,2,Vendor,Planned,2240606.6050530304,2563582.162202649
2018-02-01,2018,2,Vendor,Unplanned,712562.7200023024,775703.0905815559
2018-02-01,2018,2,Reimbursement,Planned,609536.0361459771,698600.8665786905
2018-02-01,2018,2,Reimbursement,Unplanned,178757.11600656388,203878.75877996776
2018-03-01,2018,3,Vendor,Planned,2497120.163675,2670867.570913866
2018-03-01,2018,3,Vendor,Unplanned,818722.3994264784,865337.2844657882
2018-03-01,2018,3,Reimbursement,Planned,665652.0432674732,705642.9536841766
2018-03-01,2018,3,Reimbursement,Unplanned,172719.6931901722,181670.40466327086
2018-04-01,2018,4,Vendor,Planned,2025657.088883817,2146070.84862305
2018-04-01,2018,4,Vendor,Unplanned,580448.0339291927,649115.4295046369
2018-04-01,2018,4,Reimbursement,Planned,526616.6024727277,556696.3450150392
2018-04-01,2018,4,Reimbursement,Unplanned,300511.39970657055,325122.55100508546
2018-05-01,2018,5,Vendor,Planned,2239367.5052220304,2540534.512218067
2018-05-01,2018,5,Vendor,Unplanned,509024.9490911765,535660.7961360536
2018-05-01,2018,5,Reimbursement,Planned,463626.2254858569,524568.4315961399
2018-05-01,2018,5,Reimbursement,Unplanned,240709.76228125324,259529.76997867005
2018-06-01,2018,6,Vendor,Planned,1982517.1188563309,2105069.3541598115
2018-06-01,2018,6,Vendor,Unplanned,514916.6570767844,576538.64713567
2018-06-01,2018,6,Reimbursement,Planned,549196.5972250461,611197.754216353
2018-06-01,2018,6,Reimbursement,Unplanned,266515.7694047176,303227.5707565804
2018-07-01,2018,7,Vendor,Planned,2568480.0662996843,2885705.601947107
2018-07-01,2018,7,Vendor,Unplanned,724649.6874846267,819106.3923691817
2018-07-01,2018,7,Reimbursement,Planned,554343.2016407038,597694.7565159935
2018-07-01,2018,7,Reimbursement,Unplanned,234367.98333496938,250244.99730567093
2018-08-01,2018,8,Vendor,Planned,2431815.667024389,2735942.121669594
2018-08-01,2018,8,Vendor,Unplanned,459307.7880705744,519331.72541723767
2018-08-01,2018,8,Reimbursement,Planned,510800.6872553366,586935.7923444923
2018-08-01,2018,8,Reimbursement,Unplanned,294745.4422301567,321644.43230698834
2018-09-01,2018,9,Vendor,Planned,2455479.753583347,2669602.029025615
2018-09-01,2018,9,Vendor,Unplanned,424392.50843289215,478562.51825344726
2018-09-01,2018,9,Reimbursement,Planned,540389.6891907402,585825.8455695204
2018-09-01,2018,9,Reimbursement,Unplanned,245025.62331959594,280082.84387210506
2018-10-01,2018,10,Vendor,Planned,2716531.293203591,3085548.3681504256
2018-10-01,2018,10,Vendor,Unplanned,880769.2618488222,962592.2002241282
2018-10-01,2018,10,Reimbursement,Planned,584141.9551919152,657210.5823151876
2018-10-01,2018,10,Reimbursement,Unplanned,162972.49836028984,183418.09700925773
